 ID	ligand	receptor	description(ligand)	description(receptor)	primary location(ligand)	alternate location(ligand)	primary location(receptor)	alternate location(receptor)	PubmedID	KEGG																									
2826	CXCL10	CXCR3	small inducible cytokine B10 precursor	chemokine (C-X-C motif) receptor 3 isoform B	Extracellular	---	Plasma membrane	---	12571234///10233762	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
3540	CXCL11	CCR3	small inducible cytokine B11 precursor	CC chemokine receptor 3	Extracellular	Cytoplasm	Plasma membrane	Secretory granule	11110785	04062_Chemokine signaling pathway_	 activation binding/association																								
3517	CXCL11	CXCR3	small inducible cytokine B11 precursor	chemokine (C-X-C motif) receptor 3 isoform B	Extracellular	Cytoplasm	Plasma membrane	---	15273303///9625760	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
3134	CXCL12	CXCR4	chemokine (C-X-C motif) ligand 12 (stromal	chemokine (C-X-C motif) receptor 4 isoform b	Extracellular	---	Plasma membrane	Cytoplasm	10233851///8752281	04360_Axon guidance_	 activation	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation	04672_Intestinal immune network for IgA production_	 binding/association	04670_Leukocyte transendothelial migration_	 binding/association																
1259	CXCL13	CCR10	chemokine (C-X-C motif) ligand 13 (B-cell	CC chemokine receptor 10	Extracellular	---	Plasma membrane	---	10706668	04062_Chemokine signaling pathway_	 activation binding/association																								
1616	CXCL13	CXCR3	chemokine (C-X-C motif) ligand 13 (B-cell	chemokine (C-X-C motif) receptor 3 isoform B	Extracellular	---	Plasma membrane	---	11554781	04062_Chemokine signaling pathway_	 activation binding/association																								
2616	CXCL13	CXCR5	chemokine (C-X-C motif) ligand 13 (B-cell	Burkitt lymphoma receptor 1 isoform 2	Extracellular	---	Plasma membrane	---	9486651///9463416	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2246	CXCL16	CXCR6	chemokine (C-X-C motif) ligand 16	G protein-coupled receptor TYMSTR	Plasma membrane	Extracellular	Plasma membrane	---	11017100///11290797	04062_Chemokine signaling pathway_	 activation binding/association	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																				
1847	CXCL2	IL8RA	chemokine (C-X-C motif) ligand 2	interleukin 8 receptor alpha	Extracellular	---	Plasma membrane	---	9260277	04062_Chemokine signaling pathway_	 activation binding/association																								
378	CXCL2	IL8RB	chemokine (C-X-C motif) ligand 2	interleukin 8 receptor beta	Extracellular	---	Plasma membrane	Cytoplasm///Endosome	8702798///9260277	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2768	CXCL3	IL8RA	chemokine (C-X-C motif) ligand 3	interleukin 8 receptor alpha	Extracellular	---	Plasma membrane	---	8702798	04062_Chemokine signaling pathway_	 activation binding/association																								
246	CXCL3	IL8RB	chemokine (C-X-C motif) ligand 3	interleukin 8 receptor beta	Extracellular	---	Plasma membrane	Cytoplasm///Endosome	8702798	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
3652	CXCL5	IL8RA	chemokine (C-X-C motif) ligand 5 precursor	interleukin 8 receptor alpha	Extracellular	Endoplasmic reticulum	Plasma membrane	---	9692902///8702798	04062_Chemokine signaling pathway_	 activation binding/association																								
3654	CXCL5	IL8RB	chemokine (C-X-C motif) ligand 5 precursor	interleukin 8 receptor beta	Extracellular	Endoplasmic reticulum	Plasma membrane	Cytoplasm///Endosome	9692902///8702798	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
1436	CXCL6	IL8RA	chemokine (C-X-C motif) ligand 6 (granulocyte	interleukin 8 receptor alpha	Extracellular	---	Plasma membrane	---	10593335///9692902	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
1428	CXCL6	IL8RB	chemokine (C-X-C motif) ligand 6 (granulocyte	interleukin 8 receptor beta	Extracellular	---	Plasma membrane	Cytoplasm///Endosome	10593335///9692902	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
1753	CXCL9	CCR3	small inducible cytokine B9 precursor	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	11110785	04062_Chemokine signaling pathway_	 activation binding/association																								
3782	CXCL9	CXCR3	small inducible cytokine B9 precursor	chemokine (C-X-C motif) receptor 3 isoform B	Extracellular	---	Plasma membrane	---	9660793///12782716	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2950	DCN	TGFB1	decorin isoform c precursor	"transforming growth factor, beta 1"	Extracellular	---	Extracellular	---	7638106///7798269	04350_TGF-beta signaling pathway_	 inhibition																								
1522	DHH	PTCH1	desert hedgehog preproprotein	patched isoform S	Extracellular	---	Plasma membrane	---	9811851	04340_Hedgehog signaling pathway_	 activation																								
3905	DKK1	LRP5	dickkopf homolog 1 precursor	low density lipoprotein receptor-related protein	Extracellular	---	Plasma membrane	---	11516963	04310_Wnt signaling pathway_	 inhibition																								
3906	DKK1	LRP6	dickkopf homolog 1 precursor	low density lipoprotein receptor-related protein	Extracellular	---	Plasma membrane	Cytoplasm///Cell surface	11357136///11448771	04310_Wnt signaling pathway_	 inhibition																								
2307	DKK2	LRP6	dickkopf homolog 2 precursor	low density lipoprotein receptor-related protein	Extracellular	---	Plasma membrane	Cytoplasm///Cell surface	11742004///11357136	04310_Wnt signaling pathway_	 inhibition																								
1441	DLL4	NOTCH1	delta-like 4 protein precursor	notch1 preproprotein	Plasma membrane	---	Plasma membrane	Nucleus///Cytosol	10837024///11739188	04330_Notch signaling pathway_	 activation																								
235	DLL4	NOTCH4	delta-like 4 protein precursor	notch4 preproprotein	Plasma membrane	---	Plasma membrane	Endoplasmic reticulum///Nucleus	12814948	04330_Notch signaling pathway_	 activation																								
502	DSC2	DSG2	desmocollin 2 isoform Dsc2a preproprotein	desmoglein 2 preproprotein	Plasma membrane	---	Plasma membrane	Cytoskeleton///Nucleus///Cytoplasm	11853539	05412_Arrhythmogenic right ventricular cardiomyopathy (ARVC)_	 missing interaction	05412_Arrhythmogenic right ventricular cardiomyopathy (ARVC)_	 missing interaction																						
2202	EDN1	EDNRB	endothelin 1	endothelin receptor type B isoform 1 precursor	Extracellular	---	Plasma membrane	Lysosome///Endoplasmic reticulum	12972292	04916_Melanogenesis_	 activation																								
2141	EFNA1	EPHA1	ephrin A1 isoform a precursor	ephrin receptor EphA1	Plasma membrane	Extracellular	Plasma membrane	Extracellular	8755474///11519828	04360_Axon guidance_	 activation																								
2575	EFNA1	EPHA2	ephrin A1 isoform a precursor	ephrin receptor EphA2	Plasma membrane	Extracellular	Plasma membrane	---	14692877///8755474///7973638	04360_Axon guidance_	 activation																								
2137	EFNA1	EPHA3	ephrin A1 isoform a precursor	ephrin receptor EphA3 isoform b precursor	Plasma membrane	Extracellular	Plasma membrane	Cytoplasm///Soluble fraction	8070404	04360_Axon guidance_	 activation																								
2139	EFNA1	EPHA4	ephrin A1 isoform a precursor	ephrin receptor EphA4	Plasma membrane	Extracellular	Plasma membrane	---	8755474	04360_Axon guidance_	 activation																								
2147	EFNA1	EPHA7	ephrin A1 isoform a precursor	ephrin receptor EphA7	Plasma membrane	Extracellular	Plasma membrane	Extracellular	8755474	04360_Axon guidance_	 activation																								
2143	EFNA1	EPHA8	ephrin A1 isoform a precursor	ephrin receptor EphA8 isoform 2 precursor	Plasma membrane	Extracellular	Plasma membrane	---	10515610	04360_Axon guidance_	 activation																								
4067	EFNA2	EPHA2	ephrin-A2 precursor	ephrin receptor EphA2	Plasma membrane	---	Plasma membrane	---	8755474	04360_Axon guidance_	 activation																								
4045	EFNA2	EPHA3	ephrin-A2 precursor	ephrin receptor EphA3 isoform b precursor	Plasma membrane	---	Plasma membrane	Cytoplasm///Soluble fraction	9751130	04360_Axon guidance_	 activation																								
651	EFNA3	EPHA2	ephrin A3	ephrin receptor EphA2	Plasma membrane	---	Plasma membrane	---	12907451	04360_Axon guidance_	 activation																								
1334	EFNA3	EPHA4	ephrin A3	ephrin receptor EphA4	Plasma membrane	---	Plasma membrane	---	12496762	04360_Axon guidance_	 activation																								
1336	EFNA3	EPHA7	ephrin A3	ephrin receptor EphA7	Plasma membrane	---	Plasma membrane	Extracellular	10366629	04360_Axon guidance_	 activation																								
3829	EFNA4	EPHA2	ephrin A4 isoform c	ephrin receptor EphA2	Plasma membrane	Extracellular	Plasma membrane	---	10607706///8755474	04360_Axon guidance_	 activation																								
3363	EFNA4	EPHA4	ephrin A4 isoform c	ephrin receptor EphA4	Plasma membrane	Extracellular	Plasma membrane	---	10366629	04360_Axon guidance_	 activation																								
3367	EFNA4	EPHA7	ephrin A4 isoform c	ephrin receptor EphA7	Plasma membrane	Extracellular	Plasma membrane	Extracellular	8755474	04360_Axon guidance_	 activation																								
3365	EFNA4	EPHA8	ephrin A4 isoform c	ephrin receptor EphA8 isoform 2 precursor	Plasma membrane	Extracellular	Plasma membrane	---	10515610	04360_Axon guidance_	 activation																								
1396	EFNA5	EPHA2	ephrin-A5	ephrin receptor EphA2	Plasma membrane	---	Plasma membrane	---	9245480	04360_Axon guidance_	 activation																								
2173	EFNA5	EPHA3	ephrin-A5	ephrin receptor EphA3 isoform b precursor	Plasma membrane	---	Plasma membrane	Cytoplasm///Soluble fraction	9751130///9195962///9245480	04360_Axon guidance_	 activation																								
2175	EFNA5	EPHA4	ephrin-A5	ephrin receptor EphA4	Plasma membrane	---	Plasma membrane	---	8755474	04360_Axon guidance_	 activation																								
2171	EFNA5	EPHA7	ephrin-A5	ephrin receptor EphA7	Plasma membrane	---	Plasma membrane	Extracellular	10366629	04360_Axon guidance_	 activation																								
2167	EFNA5	EPHA8	ephrin-A5	ephrin receptor EphA8 isoform 2 precursor	Plasma membrane	---	Plasma membrane	---	11416136	04360_Axon guidance_	 activation																								
70	EFNB1	EPHB1	ephrin-B1 precursor	ephrin receptor EphB1 precursor	Plasma membrane	---	Plasma membrane	---	10669731///12223469	04360_Axon guidance_	 activation																								
3051	EFNB1	EPHB2	ephrin-B1 precursor	ephrin receptor EphB2 isoform 1 precursor	Plasma membrane	---	Plasma membrane	---	8878483	04360_Axon guidance_	 activation																								
74	EFNB2	EPHB1	ephrin B2	ephrin receptor EphB1 precursor	Plasma membrane	---	Plasma membrane	---	10066262///8559144	04360_Axon guidance_	 activation																								
3046	EFNB2	EPHB2	ephrin B2	ephrin receptor EphB2 isoform 1 precursor	Plasma membrane	---	Plasma membrane	---	11780069	04360_Axon guidance_	 activation																								
2501	EFNB2	EPHB4	ephrin B2	EPH receptor B4 precursor	Plasma membrane	---	Plasma membrane	---	12051776///9718367	04360_Axon guidance_	 activation																								
1705	EFNB2	EPHB6	ephrin B2	ephrin receptor EphB6 precursor	Plasma membrane	---	Plasma membrane	---	10648835	04360_Axon guidance_	 activation																								
2185	EFNB3	EPHB3	ephrin-B3 precursor	ephrin receptor EphB3 precursor	Plasma membrane	---	Plasma membrane	---	9484836	04360_Axon guidance_	 activation																								
1083	EGF	EGFR	epidermal growth factor (beta-urogastrone)	epidermal growth factor receptor isoform a	Plasma membrane	Nucleus	Plasma membrane	Endosome///Clathrin-coated vesicle///Cytoplasm	12093292///12620237///10788520///16274239///15620700///12297050	04012_ErbB signaling pathway_	 activation	04010_MAPK signaling pathway_	 activation	04540_Gap junction_	 activation	05223_Non-small cell lung cancer_	 activation	05215_Prostate cancer_	 activation	05214_Glioma_	 activation	05213_Endometrial cancer_	 activation	05212_Pancreatic cancer_	 activation	05218_Melanoma_	 activation	04060_Cytokine-cytokine receptor interaction_	 activation	04510_Focal adhesion_	 activation	05200_Pathways in cancer_	 activation	05219_Bladder cancer_	 activation
1806	EGF	ERBB2	epidermal growth factor (beta-urogastrone)	erbB-2 isoform b	Plasma membrane	Nucleus	Plasma membrane	Extracellular///Nucleus///Cytoplasm	12093292	05223_Non-small cell lung cancer_	 activation	05215_Prostate cancer_	 activation	04510_Focal adhesion_	 activation	05219_Bladder cancer_	 activation																		
2142	EPHA1	EFNA1	ephrin receptor EphA1	ephrin A1 isoform a precursor	Plasma membrane	Extracellular	Plasma membrane	Extracellular	8755474///11519828	04360_Axon guidance_	 activation																								
2576	EPHA2	EFNA1	ephrin receptor EphA2	ephrin A1 isoform a precursor	Plasma membrane	---	Plasma membrane	Extracellular	14692877///8755474///7973638	04360_Axon guidance_	 activation																								
4068	EPHA2	EFNA2	ephrin receptor EphA2	ephrin-A2 precursor	Plasma membrane	---	Plasma membrane	---	8755474	04360_Axon guidance_	 activation																								
652	EPHA2	EFNA3	ephrin receptor EphA2	ephrin A3	Plasma membrane	---	Plasma membrane	---	12907451	04360_Axon guidance_	 activation																								
3830	EPHA2	EFNA4	ephrin receptor EphA2	ephrin A4 isoform c	Plasma membrane	---	Plasma membrane	Extracellular	10607706///8755474	04360_Axon guidance_	 activation																								
1397	EPHA2	EFNA5	ephrin receptor EphA2	ephrin-A5	Plasma membrane	---	Plasma membrane	---	9245480	04360_Axon guidance_	 activation																								
2138	EPHA3	EFNA1	ephrin receptor EphA3 isoform b precursor	ephrin A1 isoform a precursor	Plasma membrane	Cytoplasm///Soluble fraction	Plasma membrane	Extracellular	8070404	04360_Axon guidance_	 activation																								
4046	EPHA3	EFNA2	ephrin receptor EphA3 isoform b precursor	ephrin-A2 precursor	Plasma membrane	Cytoplasm///Soluble fraction	Plasma membrane	---	9751130	04360_Axon guidance_	 activation																								
2174	EPHA3	EFNA5	ephrin receptor EphA3 isoform b precursor	ephrin-A5	Plasma membrane	Cytoplasm///Soluble fraction	Plasma membrane	---	9751130///9195962///9245480	04360_Axon guidance_	 activation																								
2140	EPHA4	EFNA1	ephrin receptor EphA4	ephrin A1 isoform a precursor	Plasma membrane	---	Plasma membrane	Extracellular	8755474	04360_Axon guidance_	 activation																								
1335	EPHA4	EFNA3	ephrin receptor EphA4	ephrin A3	Plasma membrane	---	Plasma membrane	---	12496762	04360_Axon guidance_	 activation																								
3364	EPHA4	EFNA4	ephrin receptor EphA4	ephrin A4 isoform c	Plasma membrane	---	Plasma membrane	Extracellular	10366629	04360_Axon guidance_	 activation																								
2176	EPHA4	EFNA5	ephrin receptor EphA4	ephrin-A5	Plasma membrane	---	Plasma membrane	---	8755474	04360_Axon guidance_	 activation																								
2148	EPHA7	EFNA1	ephrin receptor EphA7	ephrin A1 isoform a precursor	Plasma membrane	Extracellular	Plasma membrane	Extracellular	8755474	04360_Axon guidance_	 activation																								
1337	EPHA7	EFNA3	ephrin receptor EphA7	ephrin A3	Plasma membrane	Extracellular	Plasma membrane	---	10366629	04360_Axon guidance_	 activation																								
3368	EPHA7	EFNA4	ephrin receptor EphA7	ephrin A4 isoform c	Plasma membrane	Extracellular	Plasma membrane	Extracellular	8755474	04360_Axon guidance_	 activation																								
2172	EPHA7	EFNA5	ephrin receptor EphA7	ephrin-A5	Plasma membrane	Extracellular	Plasma membrane	---	10366629	04360_Axon guidance_	 activation																								
2144	EPHA8	EFNA1	ephrin receptor EphA8 isoform 2 precursor	ephrin A1 isoform a precursor	Plasma membrane	---	Plasma membrane	Extracellular	10515610	04360_Axon guidance_	 activation																								
3366	EPHA8	EFNA4	ephrin receptor EphA8 isoform 2 precursor	ephrin A4 isoform c	Plasma membrane	---	Plasma membrane	Extracellular	10515610	04360_Axon guidance_	 activation																								
2168	EPHA8	EFNA5	ephrin receptor EphA8 isoform 2 precursor	ephrin-A5	Plasma membrane	---	Plasma membrane	---	11416136	04360_Axon guidance_	 activation																								
69	EPHB1	EFNB1	ephrin receptor EphB1 precursor	ephrin-B1 precursor	Plasma membrane	---	Plasma membrane	---	10669731///12223469	04360_Axon guidance_	 activation																								
73	EPHB1	EFNB2	ephrin receptor EphB1 precursor	ephrin B2	Plasma membrane	---	Plasma membrane	---	10066262///8559144	04360_Axon guidance_	 activation																								
3050	EPHB2	EFNB1	ephrin receptor EphB2 isoform 1 precursor	ephrin-B1 precursor	Plasma membrane	---	Plasma membrane	---	8878483	04360_Axon guidance_	 activation																								
3045	EPHB2	EFNB2	ephrin receptor EphB2 isoform 1 precursor	ephrin B2	Plasma membrane	---	Plasma membrane	---	11780069	04360_Axon guidance_	 activation																								
2184	EPHB3	EFNB3	ephrin receptor EphB3 precursor	ephrin-B3 precursor	Plasma membrane	---	Plasma membrane	---	9484836	04360_Axon guidance_	 activation																								
2500	EPHB4	EFNB2	EPH receptor B4 precursor	ephrin B2	Plasma membrane	---	Plasma membrane	---	12051776///9718367	04360_Axon guidance_	 activation																								
1704	EPHB6	EFNB2	ephrin receptor EphB6 precursor	ephrin B2	Plasma membrane	---	Plasma membrane	---	10648835	04360_Axon guidance_	 activation																								
2567	EPO	EPOR	erythropoietin precursor	erythropoietin receptor precursor	Extracellular	---	Plasma membrane	Endoplasmic reticulum	10318834///9808045	04060_Cytokine-cytokine receptor interaction_	 activation																								
3197	EREG	EGFR	epiregulin preproprotein	epidermal growth factor receptor isoform a	Extracellular	---	Plasma membrane	Endosome///Clathrin-coated vesicle///Cytoplasm	9419975	04012_ErbB signaling pathway_	 activation																								
3983	EREG	ERBB4	epiregulin preproprotein	v-erb-a erythroblastic leukemia viral oncogene	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm	9419975	04012_ErbB signaling pathway_	 activation																								
3165	F12	KLKB1	coagulation factor XII precursor	plasma kallikrein B1 precursor	Extracellular	---	Extracellular	---	3521732	04610_Complement and coagulation cascades_	 activation																								
1574	F2	F11	coagulation factor II preproprotein	coagulation factor XI precursor	Extracellular	---	Plasma membrane	Extracellular	1652157	04610_Complement and coagulation cascades_	 activation																								
1575	F2	F13A1	coagulation factor II preproprotein	coagulation factor XIII A1 subunit precursor	Extracellular	---	Extracellular	Nucleus///Cytoplasm	9546612	04610_Complement and coagulation cascades_	 activation																								
2162	F2	F2R	coagulation factor II preproprotein	coagulation factor II receptor precursor	Extracellular	---	Plasma membrane	Endosome	10644723///12563219///9058715///10978167	04080_Neuroactive ligand-receptor interaction_	 activation	04610_Complement and coagulation cascades_	 activation																						
2433	F2	F2RL1	coagulation factor II preproprotein	coagulation factor II (thrombin) receptor-like 1	Extracellular	---	Plasma membrane	Cell surface///Late endosome///Lysosome///Cytoplasmic vesicle///Golgi apparatus	10978167	04080_Neuroactive ligand-receptor interaction_	 activation																								
2252	F2	F2RL2	coagulation factor II preproprotein	coagulation factor II (thrombin) receptor-like 2	Extracellular	---	Plasma membrane	Cytoplasm///Cell junction	12732212	04080_Neuroactive ligand-receptor interaction_	 activation																								
1532	F2	F2RL3	coagulation factor II preproprotein	coagulation factor II (thrombin) receptor-like 3	Extracellular	---	Plasma membrane	---	12732212	04080_Neuroactive ligand-receptor interaction_	 activation																								
2428	F2	F9	coagulation factor II preproprotein	coagulation factor IX preproprotein	Extracellular	---	Extracellular	Endoplasmic reticulum///Golgi apparatus	15039440	04610_Complement and coagulation cascades_	 activation																								
1975	F2	FGA	coagulation factor II preproprotein	"fibrinogen, alpha polypeptide isoform alpha"	Extracellular	---	Extracellular	---	2133223///1587268///2742826	04610_Complement and coagulation cascades_	 activation																								
1033	F2	THBD	coagulation factor II preproprotein	thrombomodulin precursor	Extracellular	---	Plasma membrane	Extracellular	7615164///8663147///14691232	04610_Complement and coagulation cascades_	 activation																								
3437	F7	F10	coagulation factor VII isoform b precursor	coagulation factor X preproprotein	Extracellular	---	Extracellular	---	11560488	04610_Complement and coagulation cascades_	 activation																								
2241	FASLG	FAS	fas ligand	"tumor necrosis factor receptor superfamily,"	Plasma membrane	Lysosome///Extracellular///Intracellular vesicle///Unknown membrane///Cell surface	Plasma membrane	Cytoplasm	9228058///9126929	04010_MAPK signaling pathway_	 activation	05332_Graft-versus-host disease_	 activation	04650_Natural killer cell mediated cytotoxicity_	 activation	05142_Chagas disease_	 activation	05320_Autoimmune thyroid disease_	 activation	05330_Allograft rejection_	 activation	04060_Cytokine-cytokine receptor interaction_	 activation	04940_Type I diabetes mellitus_	 activation	04210_Apoptosis_	 activation	05200_Pathways in cancer_	 activation						
1295	FGF10	FGFR2	fibroblast growth factor 10 precursor	fibroblast growth factor receptor 2 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Extracellular	9582367	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
4074	FGF17	FGFR1	fibroblast growth factor 17 precursor	fibroblast growth factor receptor 1 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm	10751172	04010_MAPK signaling pathway_	 activation	05218_Melanoma_	 activation	05200_Pathways in cancer_	 activation																				
1422	FGF17	FGFR2	fibroblast growth factor 17 precursor	fibroblast growth factor receptor 2 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Extracellular	10751172	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
3822	FGF17	FGFR3	fibroblast growth factor 17 precursor	fibroblast growth factor receptor 3 isoform 3	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Cytoplasmic vesicle///Perinuclear vesicle	10751172	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
1494	FGF17	FGFR4	fibroblast growth factor 17 precursor	fibroblast growth factor receptor 4 isoform 2	Extracellular	---	Plasma membrane	---	10751172	04010_MAPK signaling pathway_	 activation																								
1668	FGF18	FGFR1	fibroblast growth factor 18 precursor	fibroblast growth factor receptor 1 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm	10751172	04010_MAPK signaling pathway_	 activation	05218_Melanoma_	 activation	05200_Pathways in cancer_	 activation																				
1667	FGF18	FGFR2	fibroblast growth factor 18 precursor	fibroblast growth factor receptor 2 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Extracellular	10751172	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
1669	FGF18	FGFR3	fibroblast growth factor 18 precursor	fibroblast growth factor receptor 3 isoform 3	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Cytoplasmic vesicle///Perinuclear vesicle	10751172	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
1671	FGF18	FGFR4	fibroblast growth factor 18 precursor	fibroblast growth factor receptor 4 isoform 2	Extracellular	---	Plasma membrane	---	10751172	04010_MAPK signaling pathway_	 activation																								
2083	FGF19	FGFR4	fibroblast growth factor 19 precursor	fibroblast growth factor receptor 4 isoform 2	Extracellular	---	Plasma membrane	---	10525310	04010_MAPK signaling pathway_	 activation																								
282	FGF2	FGFR1	fibroblast growth factor 2	fibroblast growth factor receptor 1 isoform 9	Plasma membrane	Extracellular///Nucleus	Plasma membrane	Nucleus///Cytoplasm	10950949///11030354	04010_MAPK signaling pathway_	 activation	05218_Melanoma_	 activation	05200_Pathways in cancer_	 activation																				
281	FGF2	FGFR3	fibroblast growth factor 2	fibroblast growth factor receptor 3 isoform 3	Plasma membrane	Extracellular///Nucleus	Plasma membrane	Nucleus///Cytoplasm///Cytoplasmic vesicle///Perinuclear vesicle	10574949	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
283	FGF2	FGFR4	fibroblast growth factor 2	fibroblast growth factor receptor 4 isoform 2	Plasma membrane	Extracellular///Nucleus	Plasma membrane	---	8530375	04010_MAPK signaling pathway_	 activation																								
2646	FGF23	FGFR2	fibroblast growth factor 23 precursor	fibroblast growth factor receptor 2 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Extracellular	12032146	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
2644	FGF23	FGFR3	fibroblast growth factor 23 precursor	fibroblast growth factor receptor 3 isoform 3	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Cytoplasmic vesicle///Perinuclear vesicle	12032146	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
2119	FGF3	FGFR1	fibroblast growth factor 3 precursor	fibroblast growth factor receptor 1 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm	8663044	04010_MAPK signaling pathway_	 activation	05218_Melanoma_	 activation	05200_Pathways in cancer_	 activation																				
2115	FGF3	FGFR2	fibroblast growth factor 3 precursor	fibroblast growth factor receptor 2 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Extracellular	8663044	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
3084	FGF3	FGFR3	fibroblast growth factor 3 precursor	fibroblast growth factor receptor 3 isoform 3	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Cytoplasmic vesicle///Perinuclear vesicle	8663044	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
3081	FGF3	FGFR4	fibroblast growth factor 3 precursor	fibroblast growth factor receptor 4 isoform 2	Extracellular	---	Plasma membrane	---	8663044	04010_MAPK signaling pathway_	 activation																								
1288	FGF4	FGFR1	fibroblast growth factor 4 precursor	fibroblast growth factor receptor 1 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm	11486033	04010_MAPK signaling pathway_	 activation	05218_Melanoma_	 activation	05200_Pathways in cancer_	 activation																				
3897	FGF4	FGFR2	fibroblast growth factor 4 precursor	fibroblast growth factor receptor 2 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Extracellular	8663044	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
3895	FGF4	FGFR3	fibroblast growth factor 4 precursor	fibroblast growth factor receptor 3 isoform 3	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Cytoplasmic vesicle///Perinuclear vesicle	8663044	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
1219	FGF4	FGFR4	fibroblast growth factor 4 precursor	fibroblast growth factor receptor 4 isoform 2	Extracellular	---	Plasma membrane	---	8663044	04010_MAPK signaling pathway_	 activation																								
2716	FGF5	FGFR1	fibroblast growth factor 5 isoform 2 precursor	fibroblast growth factor receptor 1 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm	8386828	04010_MAPK signaling pathway_	 activation	05218_Melanoma_	 activation	05200_Pathways in cancer_	 activation																				
3728	FGF5	FGFR2	fibroblast growth factor 5 isoform 2 precursor	fibroblast growth factor receptor 2 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Extracellular	11876253	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
3064	FGF5	FGFR3	fibroblast growth factor 5 isoform 2 precursor	fibroblast growth factor receptor 3 isoform 3	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Cytoplasmic vesicle///Perinuclear vesicle	8663044	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
3237	FGF5	FGFR4	fibroblast growth factor 5 isoform 2 precursor	fibroblast growth factor receptor 4 isoform 2	Extracellular	---	Plasma membrane	---	8663044	04010_MAPK signaling pathway_	 activation																								
3910	FGF6	FGFR1	fibroblast growth factor 6 precursor	fibroblast growth factor receptor 1 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm	8663044	04010_MAPK signaling pathway_	 activation	05218_Melanoma_	 activation	05200_Pathways in cancer_	 activation																				
3912	FGF6	FGFR2	fibroblast growth factor 6 precursor	fibroblast growth factor receptor 2 isoform 9	Extracellular	---	Plasma membrane	Nucleus///Cytoplasm///Extracellular	8663044	04010_MAPK signaling pathway_	 activation	05200_Pathways in cancer_	 activation																						
