 ID	ligand	receptor	description(ligand)	description(receptor)	primary location(ligand)	alternate location(ligand)	primary location(receptor)	alternate location(receptor)	PubmedID	KEGG																									
3920	CCL15	CCR1	chemokine (C-C motif) ligand 15 precursor	chemokine (C-C motif) receptor 1	Extracellular	---	Plasma membrane	---	9346309	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
3921	CCL15	CCR3	chemokine (C-C motif) ligand 15 precursor	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	9346309	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
1881	CCL16	CCR1	small inducible cytokine A16 precursor	chemokine (C-C motif) receptor 1	Extracellular	---	Plasma membrane	---	11470772///10910894	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
1878	CCL16	CCR5	small inducible cytokine A16 precursor	chemokine (C-C motif) receptor 5	Extracellular	---	Plasma membrane	---	11470772	04062_Chemokine signaling pathway_	 activation binding/association																								
1879	CCL16	CCR8	small inducible cytokine A16 precursor	chemokine (C-C motif) receptor 8	Extracellular	---	Plasma membrane	---	10910894	04062_Chemokine signaling pathway_	 activation binding/association																								
1944	CCL17	CCR4	small inducible cytokine A17 precursor	chemokine (C-C motif) receptor 4	Extracellular	---	Plasma membrane	---	9430724///9169480	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2390	CCL17	CCR8	small inducible cytokine A17 precursor	chemokine (C-C motif) receptor 8	Extracellular	---	Plasma membrane	---	12832759///9521068	04062_Chemokine signaling pathway_	 activation binding/association																								
1810	CCL19	CCR10	small inducible cytokine A19 precursor	CC chemokine receptor 10	Extracellular	---	Plasma membrane	---	10706668	04062_Chemokine signaling pathway_	 activation binding/association																								
3676	CCL19	CCR7	small inducible cytokine A19 precursor	chemokine (C-C motif) receptor 7 precursor	Extracellular	---	Plasma membrane	---	9153236	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
344	CCL2	CCR1	small inducible cytokine A2 precursor	chemokine (C-C motif) receptor 1	Extracellular	---	Plasma membrane	---	8631787	04062_Chemokine signaling pathway_	 activation binding/association																								
1907	CCL2	CCR10	small inducible cytokine A2 precursor	CC chemokine receptor 10	Extracellular	---	Plasma membrane	---	9364936///10706668	04062_Chemokine signaling pathway_	 activation binding/association																								
346	CCL2	CCR5	small inducible cytokine A2 precursor	chemokine (C-C motif) receptor 5	Extracellular	---	Plasma membrane	---	10477718	04062_Chemokine signaling pathway_	 activation binding/association																								
3978	CCL20	CCR6	chemokine (C-C motif) ligand 20 isoform 2	chemokine (C-C motif) receptor 6	Extracellular	Cytoplasm	Plasma membrane	---	9223454///9169459///9294137	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
1121	CCL21	CCR7	small inducible cytokine A21 precursor	chemokine (C-C motif) receptor 7 precursor	Extracellular	---	Plasma membrane	---	9507024///9585422	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
